,Country,Grape,Sweetness,Colour,Style,Closure,abv,Units,Description,Link
365,Chile,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,13.5,10.1,"This wine comes from some of Chile's oldest plantings of the Malbec grape, some of which are around 100 years old, in Colchagua Valley. It has been matured for just 6 months in French oak barrels, to add complexity and softness while maintaining the fruit character. A dark and intense ruby red, this wine brims with blueberry and raspberry fruit, with a subtle layer of vanilla, butterscotch and pudding spice aromas. Smooth and lightly savoury. Great with spaghetti bolognese.",https://www.majestic.co.uk/Montes-Reserva-Malbec-zid39328
366,Australia,Muscat,Sweet,White Wine,Dessert Wines,Screwcap,10.0,3.8,"From Brown Brothers Mystic Park Vineyard in Victoria this is  an exciting blend of late-harvested Orange Muscat along with the little known Flora. A cross between Semillon and Gewürztraminer, Flora lends a distinct fragrance to the wine. Aromas of orange blossom, fresh citrus and spice, with a textured and rich palate, a crisp acidity balances the sweetness of the palate and leads on in a zesty finish. A rich and rewarding dessert accompaniment.",https://www.majestic.co.uk/Brown-Brothers-Orange-Muscat-and-Flora-zid19156
367,Argentina,Chardonnay,Dry,White Wine,Peachy Whites,Screwcap,12.0,9.0,"The grapes for Alamos are grown at an altitude of between 3,000 and 5,000 feet where the temperature variation allows the grapes to grow slowly developing more flavour. Hand harvesting and sorting ensure only the best grapes are used to make the wine. The Alamos Chardonnay from the Uco Valley has a fine array of bright fruit flavours including lemon, ripe apple and peach.  There are further notes of tropical fruit and a touch of toasty oak. The flavours here will work brilliantly with grilled chicken flavoured with a touch of spice.",https://www.majestic.co.uk/Alamos-Uco-Valley-Chardonnay-zid40202
368,France,Chardonnay,Dry,White Wine,Toasty Whites,Natural Cork,13.5,10.1,"'Les Crais' is situated on a southern hill near the village of Leynes with very low yields of 25 hl per hectare to increase ripeness and concentration. 20% of the wine experiences new French oak and with very little fining or filtration produces a very rich style. This is possibly one of the richest examples of a Saint-Véran's you might find, with concentrated apricot and peach surrounded by a creamy oak texture. This wine matches well with fuller dishes like pan-fried wild mushrooms and roast partridge, this wine will age for 4-5 years.",https://www.majestic.co.uk/St-Veran-Les-Crais--zid04645
369,France,Chardonnay,Dry,White Wine,Appley Whites,Non,-1.0,Non,The village of Puligny makes some of the finest Chardonnay in the world and we asked Lay &amp; Wheeler to find us an outstanding example.  They came back with this stunning wine full of apple and pear flavours and a long mineral finish.,https://www.majestic.co.uk/Lay-Wheeler-Puligny-Montrachet-zid04825
370,Australia,Grenache,Non,Red Wine,Blackcurrant Reds,Screwcap,14.0,10.5,"Hurry! When it's gone, it's gone - wigig. Barossa Valley Estate is a relative newcomer to the world famous wine producing valley having only been founded in 1985.  They have quickly gained a reputation for capturing the distinctive elegance, finesse and powerful fruit flavours that represent the Barossa at its best. This wine display a surprising delicacy.  A delicate violet note sits alongside powerful flavours of summer fruits wrapped up in a velvety texture. This will be a great wine to enjoy with any red meat dish",https://www.majestic.co.uk/Barossa-Valley-Estate-GSM-zid19179
371,France,Chardonnay,Dry,White Wine,Creamy Whites,Natural Cork,12.0,9.0,"Made from a blend of grapes grown on mature vines in a number of different vineyard sites in the Mâcon, Côte Chalonnaise and the Côte d'Or. Fermented and matured in stainless steel, no oak is used in production, maintaining the wine's elegance and minerality. The classically citrus-led nose also offers notes of marzipan and acacia flowers. Initially straightforward and nicely rounded on the palate, with an almondy complexity on the finish. Serve alongside simple and subtly flavoured dishes such as comté cheese tart, chicken salads, fresh pasta or pâté.",https://www.majestic.co.uk/Bourgogne-Chardonnay-zid04167
372,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,13.5,10.1,"From Marlborough’s Awatere Valley, the vineyard sits between the Southern Alps and the Pacific Ocean. Deep, stony, clay soils on river terraces, the vineyard’s five blocks vinified individually before being carefully blended to achieve the ultimate in style and quality. Aromas of tropical fruit, citrus, green apples and a fresh herbaceousness lead to intense flavours - the barrel-ferment portion adds complexity while mineral characters provide backbone. Wonderful with goats’ or feta cheese, fresh seafood, or dressed Mediterranean salads.",https://www.majestic.co.uk/Blind-River-Sauvignon-Blanc-zid37291
373,France,Grenache,Non,Red Wine,Plummy Reds,Natural Cork,14.5,10.9,"Hurry! When it's gone, it's gone - wigig Part of the famous Mont-Redon estate, Jean Abeille's vineyard occupies a total of 100 hectares of land with classic Châteauneuf characteristics: mature bush vines sit on a plateau with great sun exposure, and a topsoil covered with heat-retaining pebbles. The primary fruit flavours of bramble and plum have developed with age to include notes of herb, leather and spice. Enjoy this wine with red meat dishes flavoured with herbs.",https://www.majestic.co.uk/CNDP-Vignoble-Mont-Redon-zid06060
374,France,Pinot Grigio/Gris,Off Dry,White Wine,Medium-Dry Whites,Natural Cork,14.0,10.5,"Spiegel is known as one of the best sites in Alsace for Pinot Gris, and lies on an east-facing slope of sandy clay. Winemaking is subject to Schlumberger's legendary attention to detail, including hand-selection of the grapes, whole-bunch pressing and careful lees ageing. A wine of great texture and depth of flavour, this Pinot Gris is at once youthfully vibrant, harmonious and mature. The palate is full of ripe white fruit, with finely balanced sweetness and acidity. Drink with ripe soft cheeses or rich, creamy duck liver pâte.",https://www.majestic.co.uk/Pinot-Gris-Grand-Cru-Spiegel-zid11021
375,Portugal,Tinta Barroca,Non,Red Fortified,Ports,Natural Cork,20.5,15.4,"Quinta de Terra Feita's vineyards are perfectly placed on south facing slopes and have been supplying Taylor’s with grapes for nearly a hundred years. Since the beginning of the century, small amounts of Terra Feita wine have been bottled as single-quinta vintage Ports. A beautifully concentrated Port with lush aromas of violets and tarry black fruit flavours redolent of figs, plums and spice. The full flavour really comes through on a palate of ripe cherries and plums. Due to large amounts of sediment be sure to decant before serving. Super with walnuts, dried apricots or blue-veined cheeses.",https://www.majestic.co.uk/Taylors-Quinta-de-Terra-Feita-zid16279
376,Argentina,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.5,10.1,"Award-winning Sauvignon Blanc from one of Argentina's best-known wineries, located in the high-altitude vineyard area of the Mendoza River. Hand-harvested, the grapes are destemmed and crushed before they are fermented at a cool 15ºC for a pure Sauvignon experience. Bright lemon yellow with the greenish tint of youth, this is a fresh, crisp and citrus-led wine. Soft-edged tropical notes and herb nuances linger in the background. Perfect with all light seafood dishes or soft cheeses.",https://www.majestic.co.uk/Santa-Ana-Sauvignon-Blanc-zid40131
377,France,Chardonnay,Dry,White Wine,Creamy Whites,Natural Cork,12.5,9.4,"Louis Jadot's philosophy is to create wines that show the terroir of Burgundy whether they are Grand Cru or regional wines, and this white made with grapes from the old vines of Château des Jacques is of top quality. A rich and complex wine, well rounded with ripe peach fruit and a perfectly integrated citrussy acidity leading on to a long fresh finish. Try this with a selection of cured sausages and creamy cheeses.",https://www.majestic.co.uk/Bourgogne-Chardonnay-zid04144
378,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Natural Cork,12.5,9.4,"Father-and-son team Jean and Vincent Chatelain are the 11th and 12th generations of an illustrious winemaking family, based in the heart of Pouilly-sur-Loire. Each parcel of their 30ha estate is vinified individually to maintain the character of each plot. An intensely aromatic wine, with a nose that centres on gooseberry fruit, enhanced by a smoky, flinty character. This mineral theme continues all the way to the long, steely finish. A mouthwatering, dry aperitif wine, also ideal with fresh shellfish dishes.",https://www.majestic.co.uk/Pouilly-Fume-zid05005
379,France,Chardonnay,Dry,White Wine,Creamy Whites,Natural Cork,13.0,9.8,"Cordier's Viré-Clessé is made from 40-year-old vines from village of Viré, with grapes bought in from a mixture of winegrowers, some of which practise biodynamic viticulture. Using 300lt barrels, 10% of which are new, the lees are also stirred for added body. Elegant yet opulent, this wine combines fresh fruit on the palate with a minerally core, with added dimension provide by a slight toastiness. Langoustines, lobster and prawn dishes will match well with this wine, as will most fowl recipes.",https://www.majestic.co.uk/Vire-Clesse-Vieilles-Vignes-zid04997
380,France,Melon de Bourgogne,Dry,White Wine,Fresh Whites,Natural Cork,13.0,9.8,"Made by Les Dix du Pallet, a cooperative of 10 growers based in Le Pallet, a 'cru' village in the south-east of the Loire region between the rivers Sevre and Maine. This is a rare, high-quality example of a mature, partially oak-fermented Muscadet. A unique style that shows plenty of evolved characteristics, including subtle nut, brioche and caramelised pear aromas that mingle with Muscadet's typical citrus and mineral backbone. Drink with fine fish or seafood.",https://www.majestic.co.uk/Muscadet-zid05011
381,France,Chardonnay,Dry,White Wine,Fresh Whites,Natural Cork,12.5,9.4,"This family producer is the substantial owner of 50 hectares of vineyard in Chablis, including 4 hectares of Grand Cru. Vielles Vignes wines are sourced from better quality vineyards with stricter yield limits on production. This wine possesses a vibrant fruit character of green apples and lime, with a subtle minerality and medium length. Lively with a racy acidity, this wine displays real elegance and poise. Enjoy this wine as an apéritif to fully appreciate its subtleties, or otherwise match with lighter dishes such as salads or oysters.",https://www.majestic.co.uk/Chablis-Vieilles-Vignes-zid04549
382,France,</div,Non,Red Wine,Savoury Reds,Natural Cork,14.0,10.5,The Humbert brothers make their exemplary village Gevrey-Chambertin from parcels of old vines scattered across the appelation. The wines have gained in depth and concentration of flavours in recent years and this wine with powerful and defined red fruit flavours is a prime example.,https://www.majestic.co.uk/Gevrey-Chambertin-Vielles-Vignes-zid03008
383,Italy,Nero d'Avola,Non,Red Wine,Spicy Reds,Non,13.0,9.8,This rich red from Italy is packed with dark cherry flavours and herby notes.  Everything is well integrated in this velvety wine.  The finish is long and smooth with hints of dried fruits.,https://www.majestic.co.uk/Contri-Nero-d-Avola-zid13859
384,Chile,Carmenère,Non,Red Wine,Spicy Reds,Natural Cork,14.0,10.5,"Unlike the majority of its wines which are very modern and fruit-driven, Santa Rita's Medalla Real wines are made in a more classic style, with a little more in the way of secondary, savoury characters. This Carménère comes from sites in the Marchigüe and Apalta regions. Plush and full bodied, this wine offers the nose and palate an array of blueberry, plum and oak-softened cassis fruit, accented with intriguing coffee and dark chocolate aromas. Will stand up well to steaks, as well as something a little gamier, such as pot roasted rabbit or duck.",https://www.majestic.co.uk/Santa-Rita-Medalla-Real-Carmenere-zid39250
385,USA,Chardonnay,Dry,White Wine,Creamy Whites,Screwcap,13.5,10.1,"Chardonnay accepts and reflects the terroir of the Carneros region and the fingerprint of the vintner. Fermented in 25-30% new French oak barrels and aged sur lie for eight months. During the ageing process, the barrels are stirred (batonnage) to increase yeast contact. Notes of pears, apricots and melon with toasted spicy oak characters are complemented on the palate by stone fruit, vanilla and hazelnuts. Full bodied and creamy, with a balanced and powerful finish. Enjoy over the next three years with chargrilled chicken or light fish dishes.",https://www.majestic.co.uk/Saintsbury-Chardonnay-zid18528
386,USA,Merlot,Non,Red Wine,Cherry Reds,Natural Cork,14.5,10.9,"Made on the eastern edge of Napa this is a blend of all five Bordeaux grapes.  Each individual plot, sometimes areas producing as little as half a ton, are treated individually to reflect  the unique character of each vineyard. This is an elegant and perfumed wine with tonnes of fresh cherry fruit backed up by liquorice and earthy notes. This will be a great match for slow roasted lamb shoulder.",https://www.majestic.co.uk/Kuleto-Frog-Prince-Napa-Red-zid18112
387,Non,Cabernet Sauvignon,Non,Red Wine,Non,Screwcap,13.5,10.1,"Yalumba have sourced this Cabernet Sauvignon from several quality vineyards in South Australia, primarily Wrattonbully and the warmer Barossa, and aged around a third of the blend in old oak, to produce a well-rounded yet authentically Australian style. A deep crimson red colour with bright, lively aromas of violets and ripe red fruits supported by subtle leafy notes. Supple and approachable on the palate, with a generous texture. Drink now or enjoy over the next 3-5 years. Perfect with minted lamb.",https://www.majestic.co.uk/Yalumba-Y-Series-Cabernet-Sauvignon-zid19067
388,France,Grenache,Non,Red Wine,Plummy Reds,Screwcap,13.5,10.1,"Domaines Paul Mas offer have realised the huge potential of the Languedoc's climate and terrain, growing and vinifying one of the widest selections of grape varieties. This red blend brings together classic varieties from across the breadth of the south of France. A versatile, supple and youthful middleweight red, with a ruby-purple colour and a nose of cassis, blackberry jam and grenadine. Tannins are ripe and soft, framing a juicy core of fresh berry fruit. As enjoyable on its own as it is with a rack of ribs or a lamb tagine.",https://www.majestic.co.uk/Cote-Mas-Rouge-zid09005
389,Italy,Pinot Grigio,Dry,White Wine,Fresh Whites,Screwcap,12.0,9.0,"The Majestic Definition range captures the quintessential qualities of the world's greatest wine styles, with a little help from some of the world's greatest winemaker...Pinot Grigio. A grape variety of high quality, known as Pinot Gris in many countries. Our Pinot Grigio, from Fruili, the spiritual home of Pinot Grigio.  Taste lemon, peach and minerality, and a lovely steely finish. Our Pinot Grigio can be enjoyed at any time but try it matched with salty antipasti such as roasted almonds or proscuitto.",https://www.majestic.co.uk/Definition-Pinot-Grigio-zid13451
390,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.5,10.1,"Villa Maria's 'Single Vineyard' wines are only made from a particular block if it has had an exceptional vintage, thus ensuring consistently high quality. Planted on some of the oldest clay soils of the region help to provide vine balance and ideal ripening conditions. Boasting a nose bursting with lime, asparagus and lemongrass. The palate is vibrant with ripe citrus fruits, exploding with intensity and richness leading to a long memorable finish. This wine should be well chilled and drunk now as an apéritif or with spicy Asian food.",https://www.majestic.co.uk/Villa-Maria-Single-Vineyard-Sauvignon-Blanc-zid37164
391,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,12.0,9.0,"Covering an area to the north of Poitiers, in the southeastern part of the Loire, Haut Poitou has been a well known winemaking territory for centuries, but was created an AOC as recently as 2011 as a result of its wines' notable levels of quality. A crisp, dry and well structured white reminiscent of the classic Sauvignons of the central Loire valley. Full of incisive citrus fruit character, lifted herbaceous aromatics and cleansing acidity. Drink with fresh seafood.",https://www.majestic.co.uk/Haut-Poitou-Sauvignon-Blanc-zid05018
392,South Africa,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.5,10.1,"This Sauvignon Blanc has echoes of white Bordeaux, with its 5% Semillon adding a streak of complexity and additional body to the blend. Free-run and gently pressed juice is used to minimise the presence of bitter tannins, and 2-3 months' lees ageing adds to the texture. Aromas of green peppers, asparagus and gooseberry fill the nose, while the palate displays a riper character, with underlying pineapple and passionfruit notes providing a layered feel. Equally adept as a partner for shellfish or lobster as it is for roasted sea bass.",https://www.majestic.co.uk/Rustenberg-Sauvignon-Blanc-zid20258
393,Spain,Muscat,Medium,White Wine,Dessert Wines,Natural Cork,15.0,7.5,"The Torres family have been making this Moscatel Oro, or 'Gold Muscat' since 1946. A non-vintage wine, created by blending to achieve a consistent signature. This wine is made in the style of a Vin Doux Naturel, similar to the dessert wines of the Languedoc. Trademark Moscatel aromas of orange blossom, Turkish delight and honeyed fruit, accompanied by delicious spicy notes of tobacco leaf and clove. Indulgently sweet, with an enduring candied finish. Drink with fruit puddings, crème caramel, or even ripe blue cheeses.",https://www.majestic.co.uk/Torres-Floralis-Moscatel-Oro-zid14462
394,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"The fruit for the Vavasour Sauvignon Blanc was harvested at night to preserve flavour and freshness. Careful winemaking has allowed the wine to retain the vibrant fruit flavours obtained in the vineyard. It displays an expressive nose of tropical fruit, melon and citrus, with mineral notes on the palate. Crisp and dry, this refreshing wine exhibits all the hallmarks of great Marlborough Sauvignon Blanc. Don't deliberate over this wine, just enjoy it now as a partner to whitebait or chargrilled squid.",https://www.majestic.co.uk/Vavasour-Sauvignon-Blanc-zid37173
395,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Natural Cork,12.5,9.4,"Founded prior to the turn of the nineteenth century by Louis Pabiot, this family-run Domaine is based in and around the village of Les Loges. Located opposite Sancerre, Pouilly-Fumé produces wines of smoky richness imbued from flint rich soils. Lemon coloured with intense aromas of limes, chalk, capsicum and hints of smoke before a palate of rich, smoky green fruits, gooseberry and limes with a long, complex and tangy conclusion. Eminently drinkable now and over the next two years as an accompaniment to flaky fish, salads, and grilled vegetables.",https://www.majestic.co.uk/Pouilly-Fume-Les-Cerisottes--zid05288
396,Italy,Pinot Grigio/Gris,Dry,White Wine,Fresh Whites,Natural Cork,13.0,9.8,"Alto Adige is in the far North of Italy, with vineyards lining either side of the valley formed by the River Adige. The reputation for quality, particularly from it's aromatic white wine, is typified by this high end Pinot Grigio from one of the region's better producers. This is in a different league to entry-level Italian Pinot Grigio, balancing a rich, pure palate of peach, melon and pear fruit with the crispest of finishes. This wine will marry well with fresh tomato salads and seafood dishes such as grilled sea bass or barbecued king prawns.",https://www.majestic.co.uk/Stella-Alpina-Pinot-Grigio-zid13789
397,France,Carignan,Non,Red Wine,Smooth Reds,Screwcap,12.0,9.0,"An indigenous grape variety of the Languedoc, Carignan produces dark ruby red wines with plenty of body, and are said to be a great expression of the rugged heathland terroir around Carcassonne. This example is from low-yielding vines aged around 40 years. Deep and inky red in colour, the wine is crammed with black cherry fruit, lifted by subtle vanilla aromas from a touch of oak ageing. Bold, meaty tannins provide satisfying texture and length. Drink with traditional and hearty southern French cuisine like cassoulet and duck confit.",https://www.majestic.co.uk/Alain-Grignon-Carignan-Vieilles-Vignes-zid09472
398,USA,Zinfandel,Off Dry,Rosé Wine,Medium-Dry Rosés,Screwcap,10.0,7.5,"Globally recognised as pioneers of environmentally-sound winemaking, Fetzer's winery is powered by renewable energy, including a solar-powered bottling plant and recycling of waste water from vineyard irrigation. Bright coral in colour, with a delicious hint of sweetness, offset by a tangy acidity. The intense cherry and raspberry fruit burst enthusiastically onto the palate, with a fine natural spritz. Superb summertime drinking, but a cunning match with creamy curries or spiced fish dishes.",https://www.majestic.co.uk/Fetzer-White-Zinfandel-Rose-zid08167
399,France,Gewürztraminer,Dry,White Wine,Perfumed Whites,Screwcap,13.5,10.1,"Domaine Begude is a 25-hectare family-owned estate set high in the foothills of the Pyrenees. Believing in a healthy, sustainable environment through organic farming has led to consistent wines of the highest quality. Pungent and rich this Gewurtztraminer has powerful flavours of lychee and rose petals and a long spicy finish. Perfect with Thai curries.",https://www.majestic.co.uk/Begude-Secret-du-Sud-Gewuerztraminer-zid10088
400,France,Cabernet Sauvignon,Non,Red Wine,Blackcurrant Reds,Natural Cork,13.0,9.8,"Made by winemaker Bertrand Seube, formerly of Château Mouton-Rothschild, using a blend of Bordeaux and Southern French varieties. Cabardès in Southern France is the only formal appellation which permits blending of this broad range of classic varieties in the same wine. Rustic aromas of raspberries, mullberries and cooking spices permeate from an intensely ruby coloured wine. A firm, tannic palate of spice and dark fruits leads to a layered, dry finish. Ideal with casseroles and red meat dishes, vegetable soups and cassoulet, or tagine. Drink over the next two years.",https://www.majestic.co.uk/Chateau-de-Pennautier-zid09409
401,Italy,Corvina,Non,Red Wine,Light Reds,Screwcap,12.5,9.4,"As seen on TV. Naiano is located in the hills close to the small town of Bardolino, on the eastern shore of Lake Garda. The vineyards here have a south-southwesterly aspect, giving the grapes excellent sun exposure, and the 200m altitude and cool temperatures ensure lengthy ripening. Straightforward and unmistakably Italian, this Bardolino is bright ruby red, with a freshness of fruit and a slender frame. Lingering flavours of cherry and bitter almond add a dash of complexity. Any simple Mediterranean cuisine will partner well with this wine, especially a lively Primavera style pasta, or dressed olives.",https://www.majestic.co.uk/Bardolino-Naiano--zid13833
402,France,Carignan,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"This domaine was previously owned by Gérard's father, Georges Bertrand, and was run by father and son until George's death. It is one of the premier estates in Boutenac, a part of Corbières recently awarded status as a recognised sub-appellation. Aromatically rich and complex, with jammy blackcurrant fruit and hints of roasted coffee bean, leather and soft spice notes. Round and soft on the palate, with supple, well-weighted tannins. Drink now or cellar for 3 or more years. Decant a few hours before serving with Mediterranean cuisine.",https://www.majestic.co.uk/Domaine-de-Villemajou-zid09455
403,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Natural Cork,12.5,9.4,"At Château du Nozet, Baron Ladoucette follows a family tradition producing some of the best Loire wines available. Superb Pouilly-Fumé with pungent elder-tinged fruit and a smoky, steely finish.",https://www.majestic.co.uk/Pouilly-Fume-zid05222
404,New Zealand,Sauvignon Blanc,Dry,White Wine,Creamy Whites,Screwcap,13.5,10.1,"An iconic wine from New Zealand's most iconic winery.  Atypical for Kiwi Sauvignon, the Te Koko is fermented using indigenous 'wild' yeasts, and subjected to batonnage as it ages in oak. Released as a three year old wine, this is unlike anything else from New Zealand! Lychees and almonds with classic gooseberry notes and a hint of wood smoke. A full bodied palate of citrus fruits with the richer flavours of caramel and nougat, leading to a crisp yet spicy finish. Able to age for up to five years, this wine an ideal partner to tuna, oysters and poached fish.",https://www.majestic.co.uk/Cloudy-Bay-Te-Koko-zid37153
405,Non,</div,Non,Red Wine,Non,Natural Cork,12.0,9.0,"Hurry! When it's gone, it's gone - wigig. ""The 1997 Gran Reserva 904 has a slightly aged appearance with its brick-colored rim. Fragrant and complex due to the tertiary aromas from extended time in cask and bottle age, on the palate it is silky, elegant, and beautifully balanced. Its sweet fruit seems to go on and own with no rough edges to be found. It can be enjoyed now but will provide pleasure for another decade."" Jay S Miller - The Wine Advocate",https://www.majestic.co.uk/La-Rioja-Alta-904-zid14606
406,Portugal,</div,Non,Red Fortified,Non,Natural Cork,20.0,15.0,Croft LBV was developed to satisfy the demand for a high quality ready to drink alternative to vintage port for everyday consumption. Full bodied and bursting with ripe blackcurrant flavours.,https://www.majestic.co.uk/Croft-LBV-zid16012
407,France,Merlot,Non,Red Wine,Blackcurrant Reds,Natural Cork,14.5,10.9,"Hurry! When it's gone, it's gone - wigig.This is the second wine of superstar St Emilion property Pavie Macquin and is made with just as much attention to detail.  It shares many of the same characteristics as its famous big brother at a fraction of the price. This is a rich an concentrated wine with tons of blackcurrant fruit and a rich chocolatey finish. This will be lovely with a rare steak.",https://www.majestic.co.uk/Les-Chenes-de-Macquin-zid02166
408,France,</div,Non,Red Wine,Non,Natural Cork,12.5,9.4,"Open and expressive on the nose, with a vibrant raspberry fruit nose. The palate opens with a wave of fresh, red summer fruit followed by a little coffee and spice complexity. Fresh acidity with a refined tannic structure will make this an extremely attractive proposition for lovers of a more traditionally styled Pomerol.",https://www.majestic.co.uk/Chateau-Chantalouette-zid01093
409,France,Merlot,Non,Red Wine,Blackcurrant Reds,Natural Cork,12.5,9.4,"Bordeaux Supérieur can be made anywhere within the AOC Bordeaux appellation, but must be matured for at least 12 months prior to release. The blend was made by negociant house Sovex-Woltner, who sourced the grapes from several Petits Châteaux. A middleweight claret with a good balance of ripe plum and berry flavours, with plenty of concentration. Tannins are fine-grained and provide a smooth yet ample feel. A great all round quaffing claret, ideal with simple, rustic cuisine.",https://www.majestic.co.uk/Marquis-de-Belleville-zid01358
410,Non,Negroamaro,Non,Red Wine,Non,Natural Cork,13.0,9.8,"Vallone is one of Southern Italy’s top estates, with vineyards nestled between Puglia’s olive groves and the Adriatic. The winemaker, Graziana Grassini, also makes Italy’s most prestigious fine wine: Sassicaia. This wine is produced from Negroamaro, Puglia’s noble, native red grape. Rich dark fruit, spicy but uplifted by a fresh note of red berries. Tannins are ripe and velvety giving a softness to the the palate. A complex, long finish of liquorice, chocolate and leather intermingled with red and blackberries. Pair with rustic stews of red meat with pungent herbs.",https://www.majestic.co.uk/Vereto-Salice-Salentino-zid13179
411,South Africa,Viognier,Dry,White Wine,Peachy Whites,Screwcap,14.0,10.5,"This wine is made by Boukenhoutskloof, whose vineyards are often host to the indigenous Crested Porcupine, hence its adoption as the mascot for these wines. This is an unusual blend of white grapes, reminiscent of a Rhône blend, partially fermented in French oak. The Viognier's aromas of ripe apricots and spicy floral aromas dominate the nose, while the palate is made crisper by the Grenache Blanc, with a streak of minerality. At its best with lightly spicy poultry, such as satay or chicken kebabs, or with a vegetable stir-fry.",https://www.majestic.co.uk/Porcupine-Ridge-Viognier-Grenache-Blanc-zid20263
412,Australia,Cabernet Sauvignon,Non,Red Wine,Blackcurrant Reds,Non,14.0,10.5,"This wine expresses the distinct regional profile of Margaret River Cabernet Sauvignon and the site characters it takes from the Vasse Felix vineyards, with a focus on Wilyabrup. It was the first red wine produced in Margaret River and has been made every year since 1972. Cabernet is a robust variety ideally suited to Margaret River's climate and deep, well drained soils.",https://www.majestic.co.uk/Vasse-Felix-Cabernet-Sauvignon-zid19135
413,Spain,Grenache,Dry,Rosé Wine,Fruity Rosés,Screwcap,13.5,10.1,"A blend of 80% Tempranillo and 20% Grenache this wine is macerated for several hours before the skins are removed and then fermented in stainless steel tanks. An attractive, pale pink colour with a pleasant bouquet of strawberries and raspberries mingling with fresh, floral notes. The palate is fresh and lively with mineral nuances and long-lasting fruit. Rich yet balanced on the palate, it makes an excellent match to typical Mediterranean cuisine, such as paella and lightly spiced dishes.",https://www.majestic.co.uk/Rioja-Rosado-zid08133
414,France,Pinot Noir,Non,Red Wine,Savoury Reds,Natural Cork,12.5,9.4,"Côte de Nuits-Villages is essentially the northern sister appellation of the better-known Côte de Beaune-Villages in the south of Burgundy. Covering a range of respected village appellations with some excellent sites, the region produces very consistent quality. Offers the classic Pinot Noir nose of ripe red berries, with some darker hints of blackberry and liquorice. Ripe yet nicely taut on the palate, with a smooth texture lifted by a lipsmacking acidity. A great partner for poultry dishes, especially duck or turkey, but will also stand up to red meats and feathered game.",https://www.majestic.co.uk/Cote-de-Nuits-Villages-zid03224
415,Italy,Nebbiolo,Non,Red Wine,Cherry Reds,Natural Cork,14.0,10.5,"Lay and Wheeler, our sister company,are extremely knowledgeable about arguably the finest Italian red wine, Barolo.  The have put all this knowledge to good use to source this fabulous example that is stuffed with bright cherry flavours and lifted floral notes.",https://www.majestic.co.uk/Lay-Wheeler-Barolo-zid13459
416,France,Cabernet Sauvignon,Non,Red Wine,Blackcurrant Reds,Natural Cork,13.0,9.8,"The second wine of the renowned 2ème Cru Classé estate, Gruaud Larose, Sarget de Gruaud Larose shows all the hallmarks of the great St-Julien wine, but with a fruitiness that makes it more approachable when young. The 2008 is nevertheless a robust wine, with both ripeness and a savoury edge, with a cocoa bitterness, notes of woodsmoke and textural tannins. Drink now or keep until 2018.",https://www.majestic.co.uk/Sarget-de-Gruaud-Larose-zid01628
417,New Zealand,Sauvignon Blanc,Sweet,White Wine,Dessert Wines,Screwcap,10.5,3.9,"This dessert wine from Marisco Vineyards' King's Series is made from Sauvignon Blanc grapes that have been allowed extra hang-time on the vine, giving them extra ripeness and promoting the onset of botrytis, creating intense sweetness and complex flavours. Enticing and expressive on the nose, which offers ripe peach and lychee and fig, alongside subtle nutty notes. Intensely concentrated flavours of honey and ripe nectarine with a citrus lift. Drink now or cellar for 2-3 years for more flavour development. Partner with summer fruit puddings.",https://www.majestic.co.uk/A-Sticky-End-Noble-Sauvignon-Blanc-zid37042
418,New Zealand,Pinot Noir,Non,Red Wine,Light Reds,Screwcap,13.0,9.8,"The fruit in this wine comes mainly from across Marlborough, with small amounts from other regions, creating a consistent benchmark Pinot. A variety of yeast strains, and ageing in a mixture of French and American oak are also used, further enhancing complexity. Bright red cherries and summer berries characterise the fruit, highlighted by aromas of dried herbs. The sweetness of the fruit is balanced by firm tannins and a streak of taut acidity. Drink this in its youth, with a mushroom risotto, pasta dish or lamb.",https://www.majestic.co.uk/Brancott-Estate-Pinot-Noir-zid37252
419,France,Sauvignon Blanc,Dry,White Wine,Fresh Whites,Natural Cork,12.5,9.4,"Reuilly is situated in the upper Loire close to the vineyards of Sancerre. Beurdin is one of the top Reuilly domaines who produces classic Sauvignon Blanc. Bone-dry citrus and fresh herbal fruit, gooseberry and cut grass on the expressive and fruity palate, and a fresh finish. Enjoy with seafood, as the citrus theme slices through crab, prawns and oysters with ease.",https://www.majestic.co.uk/Reuilly-zid05208
